movie_code,county_code,date,opening,gross
101,1,14-Jun-13,"$116,619,362 ","$291,045,518 "
101,43,21-Jun-13,"$386,043 ","$1,315,939 "
101,32,19-Jun-13,"$929,553 ","$2,158,005 "
101,359,21-Jun-13,"$71,443 ","$222,756 "
101,385,20-Jun-13,"$182,734 ","$359,095 "
101,420,20-Jun-13,"$230,177 ","$603,947 "
101,45,13-Jun-13,"$882,198 ","$2,412,441 "
101,1003,21-Jun-13,"$104,928 ","$298,222 "
101,20,12-Jun-13,"$105,353 ","$615,246 "
101,358,26-Jun-13,"$226,492 ","$895,070 "
101,33,19-Jun-13,"$7,967,811 ","$20,914,412 "
101,49,20-Jun-13,"$3,490,734 ","$9,806,671 "
101,30,20-Jun-13,"$436,722 ","$1,102,332 "
101,36,20-Jun-13,"$250,110 ","$611,768 "
101,354,19-Jun-13,"$65,948 ","$255,567 "
101,972,20-Jun-13,"$489,429 ","$1,216,464 "
101,39,20-Jun-13,"$2,386,577 ","$6,102,107 "
101,961,13-Jun-13,"$147,772 ","$417,625 "
101,31,20-Jun-13,"$1,180,989 ","$3,054,027 "
101,234,21-Jun-13,Unknown,"$172,276 "
101,47,19-Jun-13,"$835,703 ","$3,045,792 "
101,48,21-Jun-13,"$377,219 ","$1,210,265 "
101,351,27-Jun-13,"$315,128 ","$884,664 "
101,1008,20-Jun-13,"$21,220 ","$113,762 "
101,421,20-Jun-13,"$97,520 ","$255,692 "
101,386,20-Jun-13,"$28,410 ","$120,800 "
101,27,28-Jun-13,"$700,671 ","$1,873,658 "
101,34,21-Jun-13,"$3,926,857 ","$10,029,587 "
101,46,26-Jun-13,"$1,134,513 ","$3,696,064 "
101,90,14-Jun-13,"$632,554 ","$1,909,313 "
101,380,20-Jun-13,"$455,658 ","$1,039,036 "
101,971,13-Jun-13,"$2,004,707 ","$4,296,989 "
101,44,14-Jun-13,"$17,589,933 ","$46,198,857 "
101,54,13-Jun-13,"$1,918,996 ","$5,118,015 "
101,591,13-Jun-13,"$185,246 ","$563,656 "
101,55,12-Jul-13,"$3,998,534 ","$16,006,429 "
