movie_code,country_code,release_date,opening,gross
1,1,26-Apr-19,"$357,115,007 ","$858,373,000 "
1,44,25-Apr-19,"$55,981,204 ","$115,000,524 "
1,49,24-Apr-19,"$27,108,549 ","$63,290,219 "
1,33,24-Apr-19,"$24,971,474 ","$62,191,621 "
1,39,24-Apr-19,"$19,570,574 ","$34,145,771 "
1,34,26-Apr-19,"$13,440,594 ","$32,666,859 "
1,31,24-Apr-19,"$5,924,591 ","$15,066,568 "
1,971,25-Apr-19,"$5,935,919 ","$12,783,189 "
1,46,24-Apr-19,"$4,937,120 ","$11,757,702 "
1,48,25-Apr-19,"$4,676,158 ","$10,558,455 "
1,45,24-Apr-19,"$4,223,121 ","$10,254,418 "
1,41,24-Apr-19,"$4,061,031 ","$8,786,816 "
1,32,24-Apr-19,"$3,141,578 ","$8,682,740 "
1,43,24-Apr-19,"$3,563,042 ","$8,381,072 "
1,47,24-Apr-19,"$2,563,454 ","$8,161,984 "
1,90,26-Apr-19,"$3,027,473 ","$7,920,068 "
1,27,26-Apr-19,"$2,374,923 ","$7,167,751 "
1,420,25-Apr-19,"$2,534,713 ","$6,610,971 "
1,380,25-Apr-19,"$1,935,477 ","$5,971,461 "
1,358,24-Apr-19,"$2,137,080 ","$4,942,382 "
1,36,25-Apr-19,"$1,869,661 ","$4,500,776 "
1,351,25-Apr-19,"$1,709,377 ","$4,296,991 "
1,30,25-Apr-19,"$719,293 ","$4,175,061 "
1,40,26-Apr-19,"$903,796 ","$3,376,295 "
1,421,25-Apr-19,"$847,357 ","$1,990,548 "
1,20,26-Apr-19,Unknown,"$1,754,341 "
1,234,26-Apr-19,"$523,126 ","$1,360,313 "
1,385,25-Apr-19,"$545,732 ","$1,144,369 "
1,1008,25-Apr-19,Unknown,"$804,153 "
1,354,26-Apr-19,"$210,341 ","$749,185 "
1,370,26-Apr-19,"$250,594 ","$627,672 "
1,386,25-Apr-19,"$237,429 ","$611,641 "
1,359,26-Apr-19,"$442,037 ","$131,166 "
1,55,25-Apr-19,"$26,363,627 ","$85,672,282 "
1,52,26-Apr-19,"$31,905,293 ","$77,594,943 "
1,56,25-Apr-19,"$6,501,934 ","$18,864,424 "
1,54,25-Apr-19,"$6,809,670 ","$17,729,729 "
1,57,25-Apr-19,"$6,115,286 ","$17,689,425 "
1,591,25-Apr-19,"$1,136,801 ","$3,617,750 "
1,595,25-Apr-19,"$624,968 ","$1,564,327 "
1,598,25-Apr-19,"$594,720 ","$1,366,731 "
1,58,26-Apr-19,"$149,742 ","$1,001,684 "
1,82,24-Apr-20,Unknown,"$105,483,265 "
1,91,26-Apr-19,"$26,757,337 ","$62,678,476 "
1,61,24-Apr-19,"$24,010,504 ","$59,113,013 "
1,81,26-Apr-19,"$13,176,307 ","$55,304,132 "
1,1007,29-Apr-19,"$15,411,511 ","$46,006,725 "
1,62,24-Apr-19,"$15,427,619 ","$34,775,278 "
1,63,24-Apr-19,"$17,977,175 ","$32,839,486 "
1,886,24-Apr-19,"$12,847,762 ","$29,386,075 "
1,852,24-Apr-19,Unknown,"$29,330,722 "
1,66,24-Apr-19,"$14,165,523 ","$27,230,829 "
1,60,24-Apr-19,"$10,059,257 ","$21,123,193 "
1,65,24-Apr-19,"$5,517,581 ","$14,346,820 "
1,84,26-Apr-19,"$2,971,259 ","$11,703,305 "
1,64,24-Apr-19,"$4,039,510 ","$9,571,751 "
1,86,24-Apr-19,"$175,961,330 ","$629,100,298 "
2,1,13-Jun-08,"$55,414,050 ","$134,806,913 "
2,43,11-Jul-08,"$127,735 ","$414,620 "
2,32,25-Jun-08,"$354,175 ","$1,079,519 "
2,359,13-Jun-08,"$32,758 ","$97,910 "
2,385,10-Jul-08,Unknown,"$87,874 "
2,357,13-Jun-08,Unknown,"$153,442 "
2,420,17-Jul-08,"$63,112 ","$147,445 "
2,1002,17-Jul-08,Unknown,"$199,692 "
2,45,27-Jun-08,Unknown,"$1,103,737 "
2,1003,13-Jun-08,"$23,267 ","$80,964 "
2,20,18-Jun-08,Unknown,"$275,749 "
2,372,13-Jun-08,"$8,280 ","$28,037 "
2,358,13-Jun-08,"$56,548 ","$222,314 "
2,33,23-Jul-08,"$4,097,119 ","$9,725,300 "
2,49,10-Jul-08,"$1,162,280 ","$2,461,403 "
2,30,12-Jun-08,"$299,818 ","$833,969 "
2,36,12-Jun-08,"$124,599 ","$309,801 "
2,354,13-Jun-08,"$46,643 ","$152,733 "
2,972,26-Jun-08,Unknown,"$493,141 "
2,39,18-Jun-08,"$1,527,891 ","$6,460,290 "
2,965,19-Jun-08,Unknown,"$661,769 "
2,371,13-Jun-08,"$15,637 ","$50,812 "
2,961,19-Jun-08,"$22,616 ","$96,931 "
2,370,13-Jun-08,"$17,318 ","$53,656 "
2,1005,19-Jun-08,Unknown,"$1,394,480 "
2,31,19-Jun-08,"$390,858 ","$1,338,756 "
2,234,20-Jun-08,"$15,768 ","$27,915 "
2,47,13-Jun-08,"$380,512 ","$1,532,085 "
2,48,13-Jun-08,"$160,520 ","$484,495 "
2,351,12-Jun-08,"$169,609 ","$712,895 "
2,40,13-Jun-08,Unknown,"$145,857 "
2,1008,12-Jun-08,"$8,001 ","$52,750 "
2,421,17-Jul-08,"$16,918 ","$31,530 "
2,386,12-Jun-08,"$15,855 ","$60,156 "
2,27,13-Jun-08,"$233,777 ","$924,788 "
2,1009,13-Jun-08,Unknown,"$926,846 "
2,34,20-Jun-08,"$2,214,674 ","$7,693,842 "
2,46,13-Jun-08,"$287,435 ","$1,075,183 "
2,41,18-Jun-08,"$7,556 ","$582,510 "
2,90,13-Jun-08,"$397,477 ","$1,024,772 "
2,380,11-Jun-08,"$230,730 ","$593,282 "
2,971,19-Jun-08,"$848,661 ","$1,814,406 "
2,44,13-Jun-08,"$6,333,915 ","$15,163,328 "
2,54,19-Jun-08,"$422,838 ","$935,727 "
2,591,12-Jun-08,"$22,719 ","$67,950 "
2,55,13-Jun-08,"$1,743,519 ","$4,893,267 "
2,1001,13-Jun-08,Unknown,"$1,229,654 "
2,56,12-Jun-08,"$125,119 ","$340,611 "
2,57,20-Jun-08,"$281,555 ","$751,814 "
2,593,13-Jun-08,Unknown,"$379,250 "
2,1004,18-Jun-08,Unknown,"$275,882 "
2,52,13-Jun-08,"$4,437,954 ","$12,650,300 "
2,51,12-Jun-08,"$331,447 ","$1,194,068 "
2,598,27-Jun-08,"$7,905 ","$23,637 "
2,58,13-Jun-08,"$315,943 ","$1,312,950 "
2,61,12-Jun-08,"$1,913,821 ","$4,549,323 "
2,852,12-Jun-08,"$655,199 ","$1,603,230 "
2,91,20-Jun-08,Unknown,"$3,137,469 "
2,62,18-Jun-08,Unknown,"$1,498,269 "
2,81,1-Aug-08,"$385,666 ","$1,692,037 "
2,60,12-Jun-08,"$941,367 ","$2,284,041 "
2,64,12-Jun-08,"$310,993 ","$876,991 "
2,92,20-Jun-08,Unknown,"$173,936 "
2,63,13-Jun-08,"$772,966 ","$2,073,443 "
2,1007,12-Jun-08,"$3,241,476 ","$6,411,987 "
2,65,12-Jun-08,"$910,718 ","$1,841,159 "
2,82,12-Jun-08,"$2,869,291 ","$6,383,794 "
2,886,13-Jun-08,"$648,355 ","$1,935,524 "
2,66,12-Jun-08,"$630,849 ","$1,177,786 "
2,84,4-Jul-08,Unknown,"$162,749 "
2,86,20-Aug-08,Unknown,"$9,336,251 "
3,1,7-May-10,"$128,122,480 ","$312,433,331 "
3,43,5-May-10,"$419,536 ","$1,357,508 "
3,32,28-Apr-10,"$727,204 ","$1,890,409 "
3,359,30-Apr-10,"$36,147 ","$138,746 "
3,385,29-Apr-10,"$58,166 ","$212,418 "
3,357,30-Apr-10,Unknown,Unknown
3,420,29-Apr-10,"$161,058 ","$442,253 "
3,45,29-Apr-10,"$968,371 ","$2,292,730 "
3,1003,7-May-10,"$42,346 ","$122,460 "
3,20,29-Apr-10,"$108,806 ","$300,567 "
3,372,30-Apr-10,"$33,030 ","$77,051 "
3,358,5-May-10,"$223,654 ","$796,554 "
3,33,28-Apr-10,"$9,372,449 ","$19,792,160 "
3,49,6-May-10,"$3,223,268 ","$9,254,348 "
3,233,11-Jun-10,"$2,989 ","$8,290 "
3,30,29-Apr-10,"$671,465 ","$1,572,625 "
3,36,29-Apr-10,"$50,132 ","$704,870 "
3,354,30-Apr-10,"$72,141 ","$198,156 "
3,972,29-Apr-10,"$198,724 ","$684,653 "
3,39,30-Apr-10,"$4,701,280 ","$9,979,666 "
3,371,30-Apr-10,"$35,246 ","$104,864 "
3,961,29-Apr-10,"$66,434 ","$165,313 "
3,370,30-Apr-10,"$34,273 ","$97,230 "
3,31,28-Apr-10,"$698,020 ","$2,136,565 "
3,234,7-May-10,"$21,448 ","$59,572 "
3,47,28-Apr-10,"$747,148 ","$2,463,643 "
3,48,30-Apr-10,"$359,955 ","$1,136,267 "
3,351,29-Apr-10,"$404,617 ","$1,132,347 "
3,40,30-Apr-10,Unknown,"$466,054 "
3,7,29-Apr-10,Unknown,"$8,672,930 "
3,1008,29-Apr-10,"$6,434 ","$41,653 "
3,421,29-Apr-10,"$79,043 ","$202,047 "
3,386,29-Apr-10,"$31,250 ","$122,290 "
3,27,30-Apr-10,"$679,085 ","$2,589,816 "
3,34,30-Apr-10,"$3,517,993 ","$7,601,695 "
3,46,28-Apr-10,"$527,540 ","$1,968,871 "
3,41,28-Apr-10,Unknown,"$318,294 "
3,90,7-May-10,"$642,384 ","$1,838,197 "
3,380,29-Apr-10,"$506,945 ","$1,199,098 "
3,971,29-Apr-10,"$1,095,019 ","$2,251,242 "
3,44,30-Apr-10,"$11,712,073 ","$30,456,328 "
3,54,29-Apr-10,"$754,268 ","$2,566,778 "
3,591,29-Apr-10,"$91,890 ","$311,086 "
3,55,30-Apr-10,"$4,867,236 ","$15,835,025 "
3,56,29-Apr-10,"$554,345 ","$1,454,137 "
3,57,30-Apr-10,"$392,374 ","$1,275,996 "
3,593,30-Apr-10,"$401,325 ","$1,243,781 "
3,52,30-Apr-10,"$7,076,229 ","$18,396,680 "
3,507,30-Apr-10,Unknown,"$883,729 "
3,51,29-Apr-10,"$772,288 ","$1,862,616 "
3,598,30-Apr-10,"$19,040 ","$103,005 "
3,58,30-Apr-10,"$418,341 ","$1,903,726 "
3,61,29-Apr-10,"$8,792,360 ","$22,418,342 "
3,852,30-Apr-10,"$1,529,782 ","$3,760,485 "
3,91,7-May-10,Unknown,"$1,232,814 "
3,62,30-Apr-10,"$1,632,582 ","$4,487,383 "
3,81,12-Jun-10,"$2,909,452 ","$12,831,962 "
3,60,29-Apr-10,"$1,845,352 ","$4,642,633 "
3,64,29-Apr-10,"$1,046,284 ","$2,701,225 "
3,63,30-Apr-10,"$2,353,617 ","$6,252,102 "
3,1007,29-Apr-10,"$7,712,304 ","$14,762,084 "
3,65,30-Apr-10,"$1,920,023 ","$4,194,650 "
3,82,29-Apr-10,"$9,466,977 ","$27,095,727 "
3,886,1-May-10,"$1,062,203 ","$4,036,495 "
3,66,29-Apr-10,"$2,157,185 ","$4,618,190 "
3,84,7-May-10,Unknown,Unknown
3,86,7-May-10,Unknown,"$7,919,827 "
4,1,6-May-11,"$65,723,338 ","$181,030,624 "
4,43,27-Apr-11,"$531,607 ","$1,665,346 "
4,32,27-Apr-11,"$444,944 ","$1,255,410 "
4,359,29-Apr-11,"$157,268 ","$577,677 "
4,385,28-Apr-11,"$138,960 ","$368,650 "
4,357,29-Apr-11,Unknown,Unknown
4,420,28-Apr-11,"$246,626 ","$735,683 "
4,45,28-Apr-11,Unknown,"$1,529,183 "
4,1003,6-May-11,Unknown,"$50,606 "
4,20,27-Apr-11,"$51,548 ","$156,908 "
4,372,29-Apr-11,"$54,254 ","$128,052 "
4,358,6-May-11,"$107,711 ","$418,130 "
4,33,27-Apr-11,"$8,690,043 ","$18,370,989 "
4,49,28-Apr-11,"$5,390,785 ","$16,007,303 "
4,233,6-May-11,"$9,218 ","$30,017 "
4,30,28-Apr-11,"$859,139 ","$1,852,788 "
4,36,28-Apr-11,"$262,875 ","$744,824 "
4,354,29-Apr-11,"$93,201 ","$261,866 "
4,353,29-Apr-11,Unknown,Unknown
4,972,28-Apr-11,"$215,170 ","$748,171 "
4,39,27-Apr-11,"$4,195,996 ","$10,900,780 "
4,371,27-Apr-11,"$34,374 ","$96,627 "
4,961,28-Apr-11,"$97,630 ","$282,342 "
4,370,6-May-11,"$31,038 ","$74,700 "
4,31,28-Apr-11,"$542,287 ","$1,953,880 "
4,234,6-May-11,"$37,792 ","$140,960 "
4,47,29-Apr-11,"$579,799 ","$2,026,533 "
4,48,29-Apr-11,"$476,913 ","$1,612,281 "
4,351,28-Apr-11,"$617,766 ","$1,355,963 "
4,40,29-Apr-11,Unknown,"$772,310 "
4,1008,28-Apr-11,"$9,641 ","$72,757 "
4,421,28-Apr-11,"$71,837 ","$193,658 "
4,386,28-Apr-11,"$38,951 ","$122,992 "
4,27,29-Apr-11,"$730,953 ","$2,009,016 "
4,34,29-Apr-11,"$5,584,770 ","$12,440,218 "
4,46,29-Apr-11,"$623,099 ","$2,294,015 "
4,1010,27-Apr-11,Unknown,Unknown
4,1011,28-Apr-11,Unknown,Unknown
4,1012,29-Apr-11,Unknown,Unknown
4,90,29-Apr-11,"$692,364 ","$2,088,436 "
4,380,27-Apr-11,"$450,855 ","$1,477,787 "
4,971,28-Apr-11,"$1,097,727 ","$2,066,386 "
4,44,29-Apr-11,"$9,106,603 ","$22,521,717 "
4,54,28-Apr-11,"$773,327 ","$2,399,738 "
4,591,28-Apr-11,"$97,378 ","$370,749 "
4,55,29-Apr-11,"$5,271,703 ","$12,092,872 "
4,56,28-Apr-11,Unknown,"$1,249,402 "
4,57,29-Apr-11,"$930,674 ","$2,468,907 "
4,593,29-Apr-11,"$374,421 ","$1,281,880 "
4,52,29-Apr-11,"$7,201,607 ","$19,547,866 "
4,507,29-Apr-11,Unknown,Unknown
4,51,28-Apr-11,"$654,320 ","$1,970,451 "
4,598,28-Apr-11,"$21,019 ","$82,485 "
4,58,29-Apr-11,"$651,620 ","$2,647,111 "
4,61,21-Apr-11,"$5,752,130 ","$20,135,378 "
4,852,28-Apr-11,"$1,060,507 ","$2,490,495 "
4,91,29-Apr-11,Unknown,"$1,001,416 "
4,62,3-Nov-11,"$106,175 ","$273,076 "
4,81,2-Jul-11,"$1,607,229 ","$5,737,436 "
4,60,28-Apr-11,"$1,463,761 ","$3,730,598 "
4,64,28-Apr-11,"$671,577 ","$1,900,064 "
4,63,29-Apr-11,"$1,397,065 ","$4,027,405 "
4,1007,28-Apr-11,"$6,655,893 ","$16,543,455 "
4,65,28-Apr-11,"$1,777,475 ","$4,250,375 "
4,82,28-Apr-11,"$5,166,358 ","$14,791,773 "
4,886,30-Apr-11,"$1,549,423 ","$5,830,415 "
4,66,28-Apr-11,"$976,391 ","$2,316,699 "
5,1,22-Jul-11,"$65,058,524 ","$176,654,505 "
5,43,19-Aug-11,"$223,071 ","$721,073 "
5,32,17-Aug-11,"$290,395 ","$1,034,834 "
5,359,29-Jul-11,"$48,655 ","$242,275 "
5,385,28-Jul-11,"$52,789 ","$134,319 "
5,357,26-Aug-11,Unknown,Unknown
5,420,4-Aug-11,"$141,998 ","$352,470 "
5,45,11-Aug-11,Unknown,"$1,053,304 "
5,1003,12-Aug-11,"$12,547 ","$41,927 "
5,20,31-Aug-11,"$46,407 ","$110,427 "
5,372,29-Jul-11,"$34,737 ","$96,669 "
5,358,19-Aug-11,"$107,424 ","$312,658 "
5,33,17-Aug-11,"$3,339,680 ","$10,284,742 "
5,49,18-Aug-11,"$1,911,675 ","$4,872,496 "
5,233,12-Aug-11,"$6,784 ","$17,950 "
5,30,1-Sep-11,"$338,651 ","$767,589 "
5,36,4-Aug-11,"$208,160 ","$505,909 "
5,354,27-Jul-11,"$47,602 ","$203,750 "
5,972,4-Aug-11,"$251,527 ","$723,196 "
5,39,22-Jul-11,"$2,827,021 ","$8,601,080 "
5,371,29-Jul-11,"$17,113 ","$64,654 "
5,961,1-Sep-11,Unknown,"$173,417 "
5,370,29-Jul-11,"$21,077 ","$56,082 "
5,31,28-Jul-11,"$536,712 ","$1,632,726 "
5,234,12-Aug-11,"$26,046 ","$60,118 "
5,47,12-Aug-11,"$477,017 ","$1,413,442 "
5,48,5-Aug-11,"$191,496 ","$453,329 "
5,351,4-Aug-11,"$511,143 ","$1,508,941 "
5,40,5-Aug-11,"$98,267 ","$278,732 "
5,1008,28-Jul-11,"$7,869 ","$32,734 "
5,421,4-Aug-11,Unknown,"$94,550 "
5,386,28-Jul-11,"$16,789 ","$68,827 "
5,27,5-Aug-11,"$390,436 ","$1,041,847 "
5,34,5-Aug-11,"$2,535,436 ","$7,714,453 "
5,46,12-Aug-11,"$502,855 ","$1,504,719 "
5,41,17-Aug-11,Unknown,Unknown
5,90,2-Sep-11,"$373,116 ","$1,081,033 "
5,380,28-Jul-11,"$271,938 ","$619,293 "
5,971,1-Sep-11,"$553,310 ","$1,330,549 "
5,44,29-Jul-11,"$4,899,096 ","$14,752,839 "
5,54,28-Jul-11,"$1,671,565 ","$3,537,279 "
5,591,28-Jul-11,"$113,065 ","$369,499 "
5,55,29-Jul-11,"$6,885,568 ","$20,681,912 "
5,56,28-Jul-11,"$584,785 ","$1,619,307 "
5,57,29-Jul-11,"$1,159,116 ","$2,777,753 "
5,593,29-Jul-11,"$518,898 ","$1,490,660 "
5,52,29-Jul-11,"$8,089,424 ","$20,224,903 "
5,507,29-Jul-11,Unknown,Unknown
5,51,28-Jul-11,"$1,145,193 ","$2,388,006 "
5,598,29-Jul-11,"$31,143 ","$92,170 "
