universe_code,universe_name,movie_code,movie_name,country_code,country_name,release_date,opening,gross
1000,MCU,1,Iron Man,1,United States,26-Apr-19,357115007,858373000
1000,MCU,1,Iron Man,44,United Kingdom,25-Apr-19,55981204,115000524
1000,MCU,1,Iron Man,49,Germany,24-Apr-19,27108549,63290219
1000,MCU,1,Iron Man,33,France,24-Apr-19,24971474,62191621
1000,MCU,1,Iron Man,39,Italy,24-Apr-19,19570574,34145771
1000,MCU,1,Iron Man,34,Spain,26-Apr-19,13440594,32666859
1000,MCU,1,Iron Man,31,Netherlands,24-Apr-19,5924591,15066568
1000,MCU,1,Iron Man,971,United Arab Emirates,25-Apr-19,5935919,12783189
1000,MCU,1,Iron Man,46,Sweden,24-Apr-19,4937120,11757702
1000,MCU,1,Iron Man,48,Poland,25-Apr-19,4676158,10558455
1000,MCU,1,Iron Man,45,Denmark,24-Apr-19,4223121,10254418
1000,MCU,1,Iron Man,41,Switzerland,24-Apr-19,4061031,8786816
1000,MCU,1,Iron Man,32,Belgium,24-Apr-19,3141578,8682740
1000,MCU,1,Iron Man,43,Austria,24-Apr-19,3563042,8381072
1000,MCU,1,Iron Man,47,Norway,24-Apr-19,2563454,8161984
1000,MCU,1,Iron Man,90,Turkey,26-Apr-19,3027473,7920068
1000,MCU,1,Iron Man,27,South Africa,26-Apr-19,2374923,7167751
1000,MCU,1,Iron Man,420,Czech Republic,25-Apr-19,2534713,6610971
1000,MCU,1,Iron Man,380,Ukraine,25-Apr-19,1935477,5971461
1000,MCU,1,Iron Man,358,Finland,24-Apr-19,2137080,4942382
1000,MCU,1,Iron Man,36,Hungary,25-Apr-19,1869661,4500776
1000,MCU,1,Iron Man,351,Portugal,25-Apr-19,1709377,4296991
1000,MCU,1,Iron Man,30,Greece,25-Apr-19,719293,4175061
1000,MCU,1,Iron Man,40,Romania,26-Apr-19,903796,3376295
1000,MCU,1,Iron Man,421,Slovakia,25-Apr-19,847357,1990548
1000,MCU,1,Iron Man,20,Egypt,26-Apr-19,N/A,1754341
1000,MCU,1,Iron Man,234,Nigeria,26-Apr-19,523126,1360313
1000,MCU,1,Iron Man,385,Croatia,25-Apr-19,545732,1144369
1000,MCU,1,Iron Man,1008,Serbia and Montenegro,25-Apr-19,N/A,804153
