country_name,country_code
Argentina,54
Aruba,297
Australia,61
Austria,43
Bahrain,973
Belgium,32
Bolivia,591
Brazil,55
Bulgaria,359
Cambodia,855
Central America,1001
Chile,56
China,86
Colombia,57
Croatia,385
Cyprus,357
Czech Republic,420
Czech Republic/Slovakia,1002
Denmark,45
United States,1
Dominican Republic,1-809
East Africa,1003
Ecuador,593
Egypt,20
Estonia,372
Finland,358
France,33
Germany,49
Ghana,233
Greece,30
Hong Kong,852
Hungary,36
Iceland,354
India,91
Indonesia,62
Ireland,353
Israel,972
Italy,39
Jamaica,1-876
Japan,81
Jordan,962
Kenya,254
Kuwait,965
Latvia,371
Lebanon,961
Lesser Antilles,1004
Lithuania,370
Malaysia,60
Mexico,52
Middle East Other,1005
Mongolia,976
Netherlands,31
New Zealand,64
Nigeria,234
Norway,47
Oman,968
Pakistan,92
Panama,507
Paraguay,595
Peru,51
Philippines,63
Poland,48
Portugal,351
Qatar,974
Romania,40
Russia,7
Russia/CIS,1007
Saudi Arabia,966
Serbia and Montenegro,1008
Singapore,65
Slovakia,421
Slovenia,386
South Africa,27
South Africa/Nigeria,1009
South Korea,82
Spain,34
Sweden,46
Switzerland,41
Switzerland (French),1010
Switzerland (German),1011
Switzerland (Italian),1012
Taiwan,886
Thailand,66
Trinidad & Tobago,1013
Turkey,90
Ukraine,380
United Arab Emirates,971
United Kingdom,44
Uruguay,598
Venezuela,58
Vietnam,84
