movie_name,movie_code,domestic_gross,international_gross,worldwide_gross,Number of Theaters,Number of Weeks,Budget,Captain America,Iron Man,Black Widow,Thor,Hulk,Hawkeye,Nick Fury,Vision,Spider-Man,Star Lord,Wanda,Ant-Man,Doctor Strange,Black Panther,Captain Marvel
Iron Man,1,318604126,266762121,585366247,4154,139,"140,000,000",0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
The Incredible Hulk,2,134806913,129964083,264770996,3508,28,150000000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Iron Man 2,3,312433331,311500000,623933331,4390,34,200000000,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0
Thor,4,181030624,268295994,449326618,3963,34,150000000,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
Captain America: The First Avenger,5,176654505,193915269,370569774,3715,24,140000000,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
The Avengers,6,623357910,895455078,1518812988,4349,34,220000000,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
Iron Man 3,7,409013994,805797258,1214811252,4253,34,200000000,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
Thor: The Dark World,8,206362140,438421000,644783140,3841,59,170000000,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Captain American: The Winter Soldier,9,259766572,454654931,714421503,3938,38,170000000,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0
Guardians of the Galaxy,10,333176600,439600000,772776600,4088,74,170000000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Avengers: Age of Ultron,11,459005868,943800000,1402805868,4276,35,250000000,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0
Ant-Man,12,180202163,339109802,519311965,3856,25,130000000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Captain America: Civil War,13,408084349,745211944,1153296293,4226,34,250000000,1,1,1,0,0,1,0,1,1,0,1,1,0,1,0
Doctor Strange,14,232641920,445076475,677718395,3882,60,165000000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Guardians of the Galaxy Vol. 2,15,389813101,473942950,863756051,4347,34,200000000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Spider-Man: Homecoming,16,334201140,545965784,880166924,4348,26,175000000,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Thor: Ragnarok,17,315058289,538918837,853977126,4080,60,180000000,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
Black Panther,18,700059566,646853595,1346913161,4020,45,200000000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Avengers: Infinity War,19,678815482,1369544272,2048359754,4474,35,321000000,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0
Ant-Man and the Wasp,20,216648740,406025399,622674139,4206,25,162000000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Captain Marvel,21,462829839,701444955,1128274794,4310,42,160000000,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1
Avengers: Endgame,22,858373000,1939128328,2797501328,4662,35,356000000,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
Spider-Man: Far From Home,23,390532085,741395911,1131927996,4634,26,160000000,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
