Title,Year,Runtime,Director,IMDB_Rating,IMDB_Votes,IMDB_Gross,Tomato_Meter,Tom_Aud_Score
Captain America,1944,244,Elmer Clifton,5.5,844,0,0,82
Howard the Duck,1986,110,Willard Huyck,4.7,44073,16300000,13,38
Blade,1998,120,Stephen Norrington,7.1,251243,70090000,55,78
X-Men,2000,104,Bryan Singer,7.4,580354,157300000,82,83
Blade II,2002,117,Guillermo del Toro,6.7,203813,82350000,57,68
Spider-Man,2002,121,Sam Raimi,7.3,702986,403710000,90,67
Daredevil,2003,103,Mark Steven Johnson,5.3,208847,102540000,44,35
X2: X-Men United,2003,134,Bryan Singer,7.4,519747,214950000,85,85
Hulk,2003,138,Ang Lee,5.6,255002,132180000,62,29
The Punisher,2004,124,Jonathan Hensleigh,6.4,151872,33680000,28,63
Spider-Man 2,2004,127,Sam Raimi,7.3,556980,373590000,93,82
Blade: Trinity,2004,113,David S. Goyer,5.8,168363,52410000,25,58
Elektra,2005,97,Rob Bowman,4.7,88518,24410000,11,29
Fantastic Four,2005,106,Tim Story,5.7,315297,154700000,27,45
X-Men: The Last Stand,2006,104,Brett Ratner,6.7,490269,234360000,57,61
Ghost Rider,2007,110,Mark Steven Johnson,5.3,226797,115800000,26,48
Spider-Man 3,2007,139,Sam Raimi,6.2,510723,336530000,63,51
Fantastic Four: Rise of the Silver Surfer,2007,92,Tim Story,5.6,253897,131920000,37,51
Iron Man,2008,126,Jon Favreau,7.9,964114,318410000,94,91
The Incredible Hulk,2008,112,Louis Leterrier,6.7,445822,134520000,67,70
Punisher: War Zone,2008,103,Lexi Alexander,5.9,60767,7950000,29,42
X-Men Origins: Wolverine,2009,107,Gavin Hood,6.6,475561,179880000,37,58
Iron Man 2,2010,124,Jon Favreau,7.0,742416,312430000,72,71
Thor,2011,115,Kenneth Branagh,7.0,767687,181030000,77,76
X: First Class,2011,131,Matthew Vaughn,7.7,655399,146410000,86,87
Captain America: The First Avenger,2011,124,Joe Johnston,6.9,764786,176650000,80,74
Ghost Rider: Spirit of Vengeance,2011,96,Mark Neveldine,4.3,112898,51770000,18,31
The Avengers,2012,143,Joss Whedon,8.0,1286985,623280000,91,91
The Amazing Spider-Man,2012,136,Marc Webb,6.9,569274,262030000,72,77
Iron Man Three,2013,130,Shane Black,7.1,775425,409010000,79,78
The Wolverine,2013,126,James Mangold,6.7,437712,132560000,71,69
Thor: The Dark World,2013,112,Alan Taylor,6.9,614115,206360000,66,75
Captain America: The Winter Soldier,2014,136,Anthony Russo,7.7,759721,259770000,90,92
The Amazing Spider-Man 2,2014,142,Marc Webb,6.6,425691,202850000,51,64
X-Men: Days of Future Past,2014,132,Bryan Singer,7.9,671146,233920000,90,91
Guardians of the Galaxy,2014,121,James Gunn,8.0,1069895,333180000,92,92
Avengers: Age of Ultron,2015,141,Joss Whedon,7.3,772476,459010000,76,83
Ant-Man,2015,117,Peyton Reed,7.3,590834,180200000,83,86
Fantastic Four,2015,100,Josh Trank,4.2,155942,56120000,9,18
Deadpool,2016,108,Tim Miller,8.0,927737,363070000,85,90
Captain America: Civil War,2016,147,Anthony Russo,7.8,689763,408080000,90,89
X-Men: Apocalypse,2016,144,Bryan Singer,6.9,402935,155440000,47,65
Doctor Strange,2016,115,Scott Derrickson,7.5,623361,232640000,89,85
Logan,2017,137,James Mangold,8.1,670710,226280000,93,90
Guardians of the Galaxy Vol. 2,2017,136,James Gunn,7.6,592260,389810000,85,87
Spider-Man: Homecoming,2017,133,Jon Watts,7.4,536012,334200000,92,87
Thor: Ragnarok,2017,130,Taika Waititi,7.9,620623,315060000,93,87
Black Panther,2018,134,Ryan Coogler,7.3,655779,700060000,96,79
Avengers: Infinity War,2018,149,Anthony Russo,8.4,888104,678820000,85,91
Deadpool 2,2018,119,David Leitch,7.7,501971,324590000,84,85
Ant-Man and the Wasp,2018,118,Peyton Reed,7.0,329600,216650000,87,75
Venom,2018,112,Ruben Fleischer,6.7,383743,213520000,29,81
Captain Marvel,2019,123,Anna Boden,6.8,473437,426830000,79,45
Avengers: Endgame,2019,181,Anthony Russo,8.4,890937,858370000,94,90
X-Men: Dark Phoenix,2019,113,Simon Kinberg,5.7,164427,65850000,22,64
Spider-Man: Far from Home,2019,129,Jon Watts,7.5,353385,390530000,90,95
The New Mutants,2020,94,Josh Boone,5.3,59535,0,35,56
